organism	group
Mamastrovirus	MamaAstV
Mamastrovirus 1	MamaAstV
Mamastrovirus 10	MamaAstV
Mamastrovirus 11	MamaAstV
Mamastrovirus 12	MamaAstV
Mamastrovirus 13	MamaAstV
Mamastrovirus 14	MamaAstV
Mamastrovirus 15	MamaAstV
Mamastrovirus 16	MamaAstV
Mamastrovirus 17	MamaAstV
Mamastrovirus 18	MamaAstV
Mamastrovirus 19	MamaAstV
Mamastrovirus 2	MamaAstV
Mamastrovirus 22	MamaAstV
Mamastrovirus 25	MamaAstV
Mamastrovirus 3	MamaAstV
Mamastrovirus 4	MamaAstV
Mamastrovirus 5	MamaAstV
Mamastrovirus 6	MamaAstV
Mamastrovirus 7	MamaAstV
Mamastrovirus 8	MamaAstV
Mamastrovirus 9	MamaAstV
Mamastrovirus HMU-1	MamaAstV
Mamastrovirus felis	MamaAstV
Mamastrovirus pig/HL/China	MamaAstV
Mamastrovirus sp.	MamaAstV
Mamastrovirus suisorientalis	MamaAstV
Mink avastrovirus	MamaAstV
Mink stool-associated astrovirus	MamaAstV
Minke whale astrovirus 1	MamaAstV
Minke whale astrovirus 2	MamaAstV
New Zealand sea lion astrovirus 1	MamaAstV
Porcupine astrovirus	MamaAstV
Porcupine astrovirus 1	MamaAstV
Porcupine astrovirus 2	MamaAstV
Porcupine astrovirus 3	MamaAstV
Porcupine astrovirus 4	MamaAstV
Porcupine astrovirus 5	MamaAstV
